Date,HH,Price
2021-01-11 00:00:00,5,30.73354
2021-01-11 00:00:00,6,36.92626
2021-01-11 00:00:00,7,45.60391
2021-01-11 00:00:00,8,46.20881
2021-01-11 00:00:00,9,35.21641
2021-01-11 00:00:00,10,31.14614
2021-01-11 00:00:00,11,23.37994
2021-01-11 00:00:00,12,21.54707
2021-01-11 00:00:00,13,21.26852
2021-01-11 00:00:00,14,20.3252
2021-01-11 00:00:00,15,24.08922
2021-01-11 00:00:00,16,31.70645
2021-01-11 00:00:00,17,42.72418
2021-01-11 00:00:00,18,60.19122
2021-01-11 00:00:00,19,56.74959
2021-01-11 00:00:00,20,56.23653
2021-01-11 00:00:00,21,47.65867
2021-01-11 00:00:00,22,44.30187
2021-01-11 00:00:00,23,38.40716
2021-01-11 00:00:00,24,33.69197
2021-01-12 00:00:00,1,31.83889
2021-01-12 00:00:00,2,31.26864
2021-01-12 00:00:00,3,30.75375
2021-01-12 00:00:00,4,30.80056
2021-01-12 00:00:00,5,32.08771
2021-01-12 00:00:00,6,36.35894
2021-01-12 00:00:00,7,48.01115
2021-01-12 00:00:00,8,49.81959
2021-01-12 00:00:00,9,36.58153
2021-01-12 00:00:00,10,30.663
2021-01-12 00:00:00,11,29.55836
2021-01-12 00:00:00,12,26.89748
2021-01-12 00:00:00,13,24.12311
2021-01-12 00:00:00,14,24.40513
2021-01-12 00:00:00,15,26.41628
2021-01-12 00:00:00,16,31.51892
2021-01-12 00:00:00,17,45.68656
2021-01-12 00:00:00,18,65.14413
2021-01-12 00:00:00,19,57.7723
2021-01-12 00:00:00,20,51.92822
2021-01-12 00:00:00,21,42.79969
2021-01-12 00:00:00,22,38.55979
2021-01-12 00:00:00,23,35.14016
2021-01-12 00:00:00,24,33.34814
2021-01-13 00:00:00,1,30.16068
2021-01-13 00:00:00,2,29.25809
2021-01-13 00:00:00,3,28.53358
2021-01-13 00:00:00,4,28.64871
2021-01-13 00:00:00,5,29.80578
2021-01-13 00:00:00,6,35.23707
2021-01-13 00:00:00,7,45.86747
2021-01-13 00:00:00,8,48.87662
2021-01-13 00:00:00,9,35.81938
2021-01-13 00:00:00,10,28.47331
2021-01-13 00:00:00,11,24.2123
2021-01-13 00:00:00,12,22.88871
2021-01-13 00:00:00,13,20.31098
2021-01-13 00:00:00,14,20.44979
2021-01-13 00:00:00,15,21.70371
2021-01-13 00:00:00,16,28.15988
2021-01-13 00:00:00,17,42.09135
2021-01-13 00:00:00,18,60.95542
2021-01-13 00:00:00,19,52.49308
