Timestamp,Demand Total (kW),Heating Demand (kW),Cooling Demand (kW)
2018-08-10 12:00:00,0.2530642713939278,0.0,0.239721029327387
2018-08-10 12:15:00,0.2640386095793882,0.0,0.2510208124412996
2018-08-10 12:30:00,0.2729642477514367,0.0,0.2599464506133481
2018-08-10 12:45:00,0.2826500008850502,0.0,0.2696322037469616
2018-08-10 13:00:00,0.2922558111064237,0.0,0.27923801396833514
2018-08-10 13:15:00,0.2888309573421544,0.0,0.2758131602040659
2018-08-10 13:30:00,0.2902939437387268,0.0,0.2772761466006382
2018-08-10 13:45:00,0.2912214264965697,0.0,0.2782036293584811
2018-08-10 14:00:00,0.2924445420469193,0.0,0.2794267449088307
2018-08-10 14:15:00,0.2897306011306453,0.0,0.27606191413565223
2018-08-10 14:30:00,0.2909111822910754,0.0,0.2772424952960824
2018-08-10 14:45:00,0.2921867023569826,0.0,0.2785180153619895
2018-08-10 15:00:00,0.2934101039130614,0.0,0.2797414169180684
2018-08-10 15:15:00,0.3077846153894813,0.0,0.2941159283944883
2018-08-10 15:30:00,0.3121706364492976,0.0,0.2985019494543046
2018-08-10 15:45:00,0.315549749867586,0.0,0.301881062872593
2018-08-10 16:00:00,0.3190096100337444,0.0,0.30534092303875127
2018-08-10 16:15:00,0.3394557731000089,0.0,0.3257870861050159
2018-08-10 16:30:00,0.342835143082579,0.0,0.3291664560875859
2018-08-10 16:45:00,0.3437712462114481,0.0,0.3301025592164552
2018-08-10 17:00:00,0.3440392709838925,0.0,0.3303705839888996
2018-08-10 17:15:00,0.3612061996164659,0.0,0.34786295754992497
2018-08-10 17:30:00,0.3657161364591284,0.0,0.3523728943925877
2018-08-10 17:45:00,0.3683755628837339,0.0,0.35503232081719316
2018-08-10 18:00:00,0.3701759994127753,0.0,0.3568327573462345
2018-08-10 18:15:00,0.3704758194847221,0.0,0.3561562426328247
2018-08-10 18:30:00,0.3689337387080402,0.0,0.3546141618561428
2018-08-10 18:45:00,0.3667978014322725,0.0,0.3524782245803751
2018-08-10 19:00:00,0.3634100672140156,0.0,0.3490904903621182
2018-08-10 19:15:00,0.3593849089206832,0.0,0.3437635523549769
2018-08-10 19:30:00,0.355342676027328,0.0,0.3322204782493094
2018-08-10 19:45:00,0.3441245466008431,0.0,0.3210023488228244
2018-08-10 20:00:00,0.3327998176982621,0.0,0.30967761992024345
2018-08-10 20:15:00,0.2714673753017748,0.0,0.2476942876668518
2018-08-10 20:30:00,0.2457991752784132,0.0,0.22577650824964632
2018-08-10 20:45:00,0.2291502166684898,0.0,0.2091275496397229
2018-08-10 21:00:00,0.2156391409306639,0.0,0.19561647390189707
2018-08-10 21:15:00,0.1727923804061628,0.0,0.1534206032343004
2018-08-10 21:30:00,0.1541618331162402,0.0,0.1385404765505339
2018-08-10 21:45:00,0.1419511508160444,0.0,0.1263297942503381
2018-08-10 22:00:00,0.1320971562447803,0.0,0.11647579967907401
2018-08-10 22:15:00,0.1223930842694186,0.0,0.1070971726321645
2018-08-10 22:30:00,0.1158255816257389,0.0,0.1005296699884848
2018-08-10 22:45:00,0.1101714796611399,0.0,0.09487556802388589
2018-08-10 23:00:00,0.1051877714149196,0.0,0.0898918597776655
2018-08-10 23:15:00,0.1001262793306753,0.0,0.08515581262187341
2018-08-10 23:30:00,0.0955727312386862,0.0,0.0806022645298844
2018-08-10 23:45:00,0.0915629445869198,0.0,0.076592477878118
2018-08-11 00:00:00,0.0878496790165791,0.0,0.07287921230777719
2018-08-11 00:15:00,0.0828854980792724,0.0,0.06856592122737501
2018-08-11 00:30:00,0.0792582537207801,0.0,0.06493867686888259
2018-08-11 00:45:00,0.0757448701201109,0.0,0.0614252932682134
2018-08-11 01:00:00,0.0723119854725082,0.0,0.0579924086206107
2018-08-11 01:15:00,0.0680765969723,0.0,0.054733354905759195
2018-08-11 01:30:00,0.0662888067822435,0.0,0.0529455647157027
2018-08-11 01:45:00,0.0639295338990037,0.0,0.050586291832462896
2018-08-11 02:00:00,0.0617342081886827,0.0,0.0483909661221419
2018-08-11 02:15:00,0.0578710903825322,0.0,0.0448532932444436
2018-08-11 02:30:00,0.0547103265917591,0.0,0.041692529453670496
2018-08-11 02:45:00,0.0515825354845297,0.0,0.0385647383464412
2018-08-11 03:00:00,0.0484753304460076,0.0,0.035457533307919
2018-08-11 03:15:00,0.0471176826409873,0.0,0.034425330431351
2018-08-11 03:30:00,0.0465863663730689,0.0,0.0338940141634325
2018-08-11 03:45:00,0.0468203386094384,0.0,0.0341279863998021
2018-08-11 04:00:00,0.0464161177192725,0.0,0.0337237655096361
2018-08-11 04:15:00,0.0443026277794167,0.0,0.0319357204982325
2018-08-11 04:30:00,0.0429280644157334,0.0,0.0305611571345492
2018-08-11 04:45:00,0.0416037000681503,0.0,0.0292367927869661
2018-08-11 05:00:00,0.0403170396376889,0.0,0.0279501323565047
2018-08-11 05:15:00,0.0380427468971693,0.0,0.0260012845444373
2018-08-11 05:30:00,0.0364244915863158,0.0,0.0243830292335838
2018-08-11 05:45:00,0.034753741040381,0.0,0.0227122786876491
2018-08-11 06:00:00,0.0337070112471866,0.0,0.0216655488944546
2018-08-11 06:15:00,0.0308553095090769,0.0,0.019139292084797102
2018-08-11 06:30:00,0.0288207823083514,0.0,0.0171047648840716
2018-08-11 06:45:00,0.0267979344367674,0.0,0.015081917012487699
2018-08-11 07:00:00,0.0247794044500847,0.0,0.013063387025805
2018-08-11 07:15:00,0.0246437172988242,0.0,0.0129276998745444
2018-08-11 07:30:00,0.0248008916517509,0.0,0.013084874227471201
2018-08-11 07:45:00,0.025009415547198,0.0,0.0132933981229183
2018-08-11 08:00:00,0.0252313411623953,0.0,0.0135153237381156
2018-08-11 08:15:00,0.0281082205418413,0.0,0.0157413132606571
2018-08-11 08:30:00,0.0300954010212889,0.0,0.0177284937401047
2018-08-11 08:45:00,0.0340588224285794,0.0,0.0216919151473952
2018-08-11 09:00:00,0.0381946715900883,0.0,0.0258277643089041
2018-08-11 09:15:00,0.0590184491239502,0.0,0.0460006519858616
2018-08-11 09:30:00,0.0678330512331532,0.0,0.0548152540950646
2018-08-11 09:45:00,0.0771446759259547,0.0,0.0641268787878662
2018-08-11 10:00:00,0.0861487479683837,0.0,0.0731309508302951
2018-08-11 10:15:00,0.1156131599182093,0.0,0.1022699178516685
2018-08-11 10:30:00,0.1296263369075656,0.0,0.11628309484102481
2018-08-11 10:45:00,0.1421008585070401,0.0,0.1287576164404992
2018-08-11 11:00:00,0.1552145178364102,0.0,0.14187127576986938
2018-08-11 11:15:00,0.1803432533606018,0.0,0.167000011294061
2018-08-11 11:30:00,0.1955559637825745,0.0,0.1822127217160336
2018-08-11 11:45:00,0.2098316598727507,0.0,0.1964884178062099
2018-08-11 12:00:00,0.2241300206627507,0.0,0.2107867785962099
2018-08-11 12:15:00,0.2366186904324442,0.0,0.22360089329435562
2018-08-11 12:30:00,0.2470090626516146,0.0,0.233991265513526
2018-08-11 12:45:00,0.2564005151493436,0.0,0.243382718011255
2018-08-11 13:00:00,0.2653245052335182,0.0,0.2523067080954296
2018-08-11 13:15:00,0.2683171279119203,0.0,0.2552993307738318
2018-08-11 13:30:00,0.2739463328884758,0.0,0.2609285357503872
2018-08-11 13:45:00,0.2785595386256173,0.0,0.2655417414875286
2018-08-11 14:00:00,0.2839843945241563,0.0,0.2709665973860676
2018-08-11 14:15:00,0.2851472776243289,0.0,0.2714785906293358
2018-08-11 14:30:00,0.2893245494228219,0.0,0.2756558624278288
2018-08-11 14:45:00,0.2932740880450633,0.0,0.2796054010500702
2018-08-11 15:00:00,0.2970736995141496,0.0,0.2834050125191565
2018-08-11 15:15:00,0.3149003749916836,0.0,0.3012316879966906
2018-08-11 15:30:00,0.3228611467782138,0.0,0.3091924597832207
2018-08-11 15:45:00,0.3292933714229528,0.0,0.31562468442795977
2018-08-11 16:00:00,0.3355966045355022,0.0,0.3219279175405092
2018-08-11 16:15:00,0.3591190131496056,0.0,0.3454503261546125
2018-08-11 16:30:00,0.3628657651808453,0.0,0.3491970781858523
2018-08-11 16:45:00,0.3650773580654286,0.0,0.3514086710704356
2018-08-11 17:00:00,0.3666826977288601,0.0,0.353014010733867
2018-08-11 17:15:00,0.3862505765240104,0.0,0.3729073344574696
2018-08-11 17:30:00,0.3894896540752132,0.0,0.3761464120086723
2018-08-11 17:45:00,0.3912780179015938,0.0,0.377934775835053
