Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,563174,-,b'None',b'None',37.82,-122.41,0,0,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.2.0
Year,Month,Day,Hour,Minute,GHI,Temperature,Relative Humidity,Wind Speed
2020,1,2,7,30,0,10,100,2.9000000000000004
2020,1,2,7,40,0,9.9,100,2.9000000000000004
2020,1,2,7,50,0,9.8,100,2.8000000000000003
2020,1,2,8,0,0,9.8,100,2.8000000000000003
2020,1,2,8,10,0,9.700000000000001,100,2.8000000000000003
2020,1,2,8,20,0,9.600000000000001,100,2.8000000000000003
2020,1,2,8,30,0,9.5,100,2.8000000000000003
2020,1,2,8,40,0,9.5,100,2.8000000000000003
2020,1,2,8,50,0,9.4,100,2.8000000000000003
2020,1,2,9,0,0,9.3,100,2.8000000000000003
2020,1,2,9,10,0,9.3,100,2.8000000000000003
2020,1,2,9,20,0,9.200000000000001,100,2.8000000000000003
2020,1,2,9,30,0,9.200000000000001,100,2.8000000000000003
2020,1,2,9,40,0,9.200000000000001,100,2.8000000000000003
2020,1,2,9,50,0,9.1,100,2.8000000000000003
2020,1,2,10,0,0,9.1,100,2.8000000000000003
2020,1,2,10,10,0,9,100,2.8000000000000003
2020,1,2,10,20,0,9,100,2.7
2020,1,2,10,30,0,8.9,100,2.7
2020,1,2,10,40,0,8.9,100,2.6
2020,1,2,10,50,0,8.8,100,2.6
2020,1,2,11,0,0,8.8,100,2.6
2020,1,2,11,10,0,8.700000000000001,100,2.6
2020,1,2,11,20,0,8.700000000000001,100,2.5
2020,1,2,11,30,0,8.6,100,2.5
2020,1,2,11,40,0,8.6,100,2.5
2020,1,2,11,50,0,8.5,100,2.5
2020,1,2,12,0,0,8.5,100,2.5
2020,1,2,12,10,0,8.5,100,2.5
2020,1,2,12,20,0,8.4,100,2.5
2020,1,2,12,30,0,8.4,100,2.5
2020,1,2,12,40,0,8.4,100,2.5
2020,1,2,12,50,0,8.3,100,2.5
2020,1,2,13,0,0,8.3,100,2.5
2020,1,2,13,10,0,8.3,100,2.5
2020,1,2,13,20,0,8.3,100,2.5
2020,1,2,13,30,0,8.3,100,2.5
2020,1,2,13,40,0,8.3,100,2.5
2020,1,2,13,50,0,8.3,100,2.5
2020,1,2,14,0,0,8.200000000000001,100,2.5
2020,1,2,14,10,0,8.200000000000001,100,2.5
2020,1,2,14,20,0,8.200000000000001,100,2.4000000000000004
2020,1,2,14,30,0,8.200000000000001,100,2.4000000000000004
2020,1,2,14,40,0,8.200000000000001,100,2.4000000000000004
2020,1,2,14,50,0,8.200000000000001,100,2.4000000000000004
2020,1,2,15,0,0,8.200000000000001,100,2.4000000000000004
2020,1,2,15,10,0,8.6,99.56,2.4000000000000004
2020,1,2,15,20,0,8.9,97.57000000000001,2.4000000000000004
2020,1,2,15,30,0,9.3,95.07000000000001,2.5
2020,1,2,15,40,10,9.600000000000001,96.42,2.5
2020,1,2,15,50,23,9.9,94.51,2.5
