Date,HH,Price
2021-01-15 00:00:00,13,25.18897
2021-01-15 00:00:00,14,25.6349
2021-01-15 00:00:00,15,27.23552
2021-01-15 00:00:00,16,34.73154
2021-01-15 00:00:00,17,45.90464
2021-01-15 00:00:00,18,51.91984
2021-01-15 00:00:00,19,48.40303
2021-01-15 00:00:00,20,41.32613
2021-01-15 00:00:00,21,39.11187
2021-01-15 00:00:00,22,36.21844
2021-01-15 00:00:00,23,34.30162
2021-01-15 00:00:00,24,30.4878
2021-01-16 00:00:00,1,30.79729
2021-01-16 00:00:00,2,30.31241
2021-01-16 00:00:00,3,30.27193
2021-01-16 00:00:00,4,30.20066
2021-01-16 00:00:00,5,30.73962
2021-01-16 00:00:00,6,33.03608
2021-01-16 00:00:00,7,38.1087
2021-01-16 00:00:00,8,36.02986
2021-01-16 00:00:00,9,28.22989
2021-01-16 00:00:00,10,24.22933
2021-01-16 00:00:00,11,20.09243
2021-01-16 00:00:00,12,18.03746
2021-01-16 00:00:00,13,16.40117
2021-01-16 00:00:00,14,16.09482
2021-01-16 00:00:00,15,21.39253
2021-01-16 00:00:00,16,30.52979
2021-01-16 00:00:00,17,40.27909
2021-01-16 00:00:00,18,48.4571
2021-01-16 00:00:00,19,47.14391
2021-01-16 00:00:00,20,43.4128
2021-01-16 00:00:00,21,40.5686
2021-01-16 00:00:00,22,38.43669
2021-01-16 00:00:00,23,33.56643
2021-01-16 00:00:00,24,33.19306
2021-01-17 00:00:00,1,30.99301
2021-01-17 00:00:00,2,30.30926
2021-01-17 00:00:00,3,30.6623
2021-01-17 00:00:00,4,30.76292
2021-01-17 00:00:00,5,30.82614
2021-01-17 00:00:00,6,32.79632
2021-01-17 00:00:00,7,34.40518
2021-01-17 00:00:00,8,31.6102
2021-01-17 00:00:00,9,21.37605
2021-01-17 00:00:00,10,13.12193
2021-01-17 00:00:00,11,8.94146
2021-01-17 00:00:00,12,7.44783
2021-01-17 00:00:00,13,6.20201
2021-01-17 00:00:00,14,6.71869
2021-01-17 00:00:00,15,14.1373
2021-01-17 00:00:00,16,25.76523
2021-01-17 00:00:00,17,40.48716
2021-01-17 00:00:00,18,50.99698
2021-01-17 00:00:00,19,49.4656
