t,lambda,xi0,xi1,xi2,xi3,xi4,xi5,xi6,xi7,xi8,xi9,demand0,demand1,demand2,demand3,demand4,demand5,demand6,demand7,demand8,demand9,device0_0,device1_0,device2_0,device3_0,device4_0,device5_0,device6_0,device7_0,device8_0,device9_0
59,36.82686,45294.96615235007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0490709248416972,0.1338764773690721,0.1884944305818564,0.2737211816740711,0.2287431151812146,0.0937889003943583,0.1133175422058636,0.0579092135736231,0.0094444355787874,0.1221360380397277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,36.82686,45292.273192350054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0490709248416972,0.1338764773690721,0.1884944305818564,0.2737211816740711,0.2287431151812146,0.0937889003943583,0.1133175422058636,0.0579092135736231,0.0094444355787874,0.1221360380397277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,36.82686,45292.273192350054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0490709248416972,0.1338764773690721,0.1884944305818564,0.2737211816740711,0.2287431151812146,0.0937889003943583,0.1133175422058636,0.0579092135736231,0.0094444355787874,0.1221360380397277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,36.82686,45292.273192350054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0490709248416972,0.1265112876032137,0.1884944305818564,0.275318094589072,0.187378734320082,0.0958415237348174,0.0881086201705495,0.0579092135736231,0.0094444355787874,0.1337327192434121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,36.82686,45292.273192350054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0490709248416972,0.1265112876032137,0.1884944305818564,0.275318094589072,0.187378734320082,0.0958415237348174,0.0881086201705495,0.0579092135736231,0.0094444355787874,0.1337327192434121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,36.82686,45292.273192350054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0490709248416972,0.1265112876032137,0.1884944305818564,0.275318094589072,0.187378734320082,0.0958415237348174,0.0881086201705495,0.0579092135736231,0.0094444355787874,0.1337327192434121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,36.82686,45292.273192350054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0490709248416972,0.1271226000125631,0.1557755986210953,0.2767683730280862,0.1343563569843365,0.0978851382294819,0.0880144172550993,0.0579092135736231,0.0094444355787874,0.1365379475601769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,36.82686,45292.273192350054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0490709248416972,0.1271226000125631,0.1557755986210953,0.2767683730280862,0.1343563569843365,0.0978851382294819,0.0880144172550993,0.0579092135736231,0.0094444355787874,0.1365379475601769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,36.82686,45292.273192350054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0490709248416972,0.1271226000125631,0.1557755986210953,0.2767683730280862,0.1343563569843365,0.0978851382294819,0.0880144172550993,0.0579092135736231,0.0094444355787874,0.1365379475601769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,36.82686,45292.273192350054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0490709248416972,0.1278032944534632,0.1557755986210953,0.2781451165435323,0.1343026799750624,0.0999152012982372,0.0880656187320284,0.0579092135736231,0.0094444355787874,0.139153167140408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,36.82686,45292.273192350054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0490709248416972,0.1278032944534632,0.1557755986210953,0.2781451165435323,0.1343026799750624,0.0999152012982372,0.0880656187320284,0.0579092135736231,0.0094444355787874,0.139153167140408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,36.82686,45292.273192350054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0490709248416972,0.1278032944534632,0.1557755986210953,0.2781451165435323,0.1343026799750624,0.0999152012982372,0.0880656187320284,0.0579092135736231,0.0094444355787874,0.139153167140408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,40.30831,45292.273192350054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0487944241637853,0.1291877996615422,0.1552367534862195,0.2786937305198209,0.132320119650186,0.1009243490057048,0.0878145191827045,0.0566605828659465,0.0091958978003983,0.1317660449103746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,40.30831,45288.79174235009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0487944241637853,0.1291877996615422,0.1552367534862195,0.2786937305198209,0.132320119650186,0.1009243490057048,0.0878145191827045,0.0566605828659465,0.0091958978003983,0.1317660449103746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,40.30831,45288.79174235009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0487944241637853,0.1291877996615422,0.1552367534862195,0.2786937305198209,0.132320119650186,0.1009243490057048,0.0878145191827045,0.0566605828659465,0.0091958978003983,0.1317660449103746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
